7335f079ab,quantization,[pt][quant] qmul and qadd should preserve input memory format (#34834)
226f559394,skip,Updating submodules
53539567cb,onnx,[Onnxifi] Copy partitioning info when lowering to glow
e433271320,skip,Install CUDA manually on Windows CI to avoid flakiness (#34940)
74009dc558,profiler,[profiler] use swap in allocBlock to reduce time the lock is held. (#34499)
37b234a880,quantization,"quantized hardsigmoid, take 2 (#34959)"
c957580133,skip,Add promotion pipeline for S3 and conda artifacts (#34993)
b3fccda4a9,caffe2,[DPER3][Shape inference] Update Shape Information in dper3 backend (#34475)
7065c46ea2,rpc,Respect dist autograd context in torch.jit._fork. (#34360)
02e16b38f3,skip,Remove the use of two magic numbers in vec256 (#35003)
7b59f41009,jit,Add TensorExpr Fuser tests. (#35052)
851579d868,onnx,[Onnxifi] Blacklist ops in the partitions that are supposed to run on CPU (#34991)
733b6315fd,quantization,Add the fusion of quantized batchnorm and relu (#34795)
d2d26bf643,rpc,[rpc] fix test_debug_info for python 3.5 (#34828)
fd57e0901e,quantization,remove the slow path(NCHW) for avg_pool3d (#34994)
33dcaaa872,quantization,[quant][onnx] Add aten::max_pool2d to jit pass (#34912)
d3f5045bf5,InLastRelease,PyTorch should always depend on `future` (#35057)
90045ce5e0,jit,Add equality comparisons to c10::List (#34856)
5f32dfca16,jit,Add equality comparison to c10::Dict (#34892)
8210b2054e,skip,Move ivalue tests to aten (#34985)
a4afac6076,InLastRelease,enforce rref JIT pickling to be in the scope of rpc calls (#34689)
e7fc55ef7b,quantization,Revert D20464855: [pytorch][PR] Add the fusion of quantized batchnorm and relu
3c90a90730,jit,Revert D20540599: Add TensorExpr Fuser tests.
bb63710c9a,rpc,Reduce the number of iterations in test_autograd_context (#35037)
edb794fb19,amd,[ROCm] Enable BFloat16 type for TopK operator on ROCm. (#34849)
991b97277a,skip,"[RELAND] Eager autocasting, out-of-place ops only (with MSVC 2017 fix) (#35011)"
463f7920bd,InLastRelease,repr and _*state_dict for qRNN (#31540)
e65ac7af14,complex_frontend,Also vectorize complex types in fill. (#34973)
89110fbe6c,InLastRelease,Fix torch.mm export to ONNX (#34661)
eb78f7ea41,InLastRelease,torch.cat: disallow inputs on different devices (#35053)
0ccdec6b4c,skip,Revert e7fc55e (#35080)
fe276d541e,skip,"Revert D20541921: [pytorch][PR] [RELAND] Eager autocasting, out-of-place ops only (with MSVC 2017 fix)"
6000dca5df,caffe2,[nomnigraph] Copy device option when customize the op conversion (#34976)
ec9f680973,InLastRelease,Enforce rref python pickling to be in the scope of RPC call (#34755)
1c958f8ef9,bug_fixes_frontend,`Engine::~Engine()` should wait for non-reentrant threads to shutdown (#34529)
781f590f33,InLastRelease,[C++ API Parity] Add xor_convergence test for lbfgs (#35001)
e3272559e4,caffe2,[caffe2] SWA operator (#34394)
a5b5ea9852,profiler,use new cuda kernel launch code in nvprof parsing (#35016)
8bcedf7da2,new_features_frontend,Adds truncated normal initializer (#32397)
91d39de149,skip,Vectorize in-place comparison operators (#33252)
451e4d578d,complex_frontend,"Define +, -, *, / between complex numbers and integers (#34506)"
7d5a899883,complex_frontend,randn cuda kernel complex dtype (#35056)
bf41a7624e,opbench,fix missing comma in activation benchmarks (#35104)
8998a1b3d3,jit,Add tensorexpr benchmarks. (#35064)
ea41bf3100,mobile,[android] Maven publishing license fix (#32474)
faa853fefb,skip,Revert D20254663: [pytorch][PR] Vectorize in-place comparison operators
3c409fc66c,jit,Add guard elimination cases for operators encountered on an RL workload. (#34967)
12f0052eee,jit,Add TensorExpr Fuser tests (resubmit). (#35085)
62f11f0a35,jit,[JIT] add id function (#34975)
ca1e2cda05,th_aten_frontend,Port set_ to ATen. (#34403)
4bd5d1b3be,caffe2,[TVM] Use caffe2_predictor_model_shape_hints to pass shape_hints to TVM (#35091)
f9cddff25a,mobile,[android] Preload module actions do only once (#32313)
df8d6eeb19,InLastRelease,Update docs about DP and DDP for CUDA (#35063)
3e58cba3c5,quantization,Fixes the Conv2d batch_norm folding for various cases. (#34932)
65ff064763,performance_frontend,Parallelize cpu index_put accumulate float path with cpu_atomic_add_float (#29705)
e0496a70fc,InLastRelease,[JIT][torchbind] Namespaces for torchbind classes (#35054)
3a772b798a,rpc,Auto-format jit/rpc_test.py with flake8-black (#35075)
064c478453,dispatcher,[pytorch] register c10 ops for static dispatch to unblock c10 boxing
61b680c012,dispatcher,[pytorch] force c10 schema registration for custom build
4025729e88,rpc,[1.5 Release][RPC Reliability] RRef Idempotency and RPC Retry enablement (#33636)
e98b8eb35f,profiler,[profiler] remove unused _push_range and _pop_range (#35028)
bf31b1b6be,build_frontend,Upgrade protobuf as bazel build preamble (#34662)
4594433319,skip,Add retry to pip usage in mobile job (#35122)
d45e135d89,skip,Updating submodules
43fc97db88,skip,Updating submodules
c21fde6421,rpc,[jit] make jit/rpc share the same PythonFutureWrapper (#35039)
845b19c4ef,caffe2,Add weight_scale in Adagrad (#34944)
d7462dcea6,InLastRelease,"Fix AdaptiveAvgPool{2,3}d and AdaptiveMaxPool{2,3}d implementation (#35022)"
ef7fe371ce,InLastRelease,Fix Conv and ConvTranspose implementation (#35023)
c0958c883e,InLastRelease,Fix fractional_max_pool3d_with_indices implementation (#35024)
a2557970f3,InLastRelease,Fix F::interpolate and torch::nn::Upsample implementation (#35025)
d87750cd04,caffe2,[caffe2.proto] Add backend_option to PartitionInfo
3fa7813b9f,quantization,[quant] Add dequantize.tensors (#34348)
3342ab89ac,dispatcher,[pytorch] revert register c10 ops for static dispatch (#35148)
65cea95777,jit,"[TensorExpr] Rename schedule.{cpp,h} to loopnest.{cpp,h}. (#35119)"
d609f356de,jit,[TensorExpr] Use `const Expr*` instead of `ExprHandle&` in Range. (#35125)
95ad94c75b,jit,[TensorExpr] Nuke tensorexpr::schedule namespace. (#35126)
f515d87296,skip,Updating submodules
bbec4520c6,InLastRelease,Add inplace tests for several torch::nn modules / functionals (#35147)
a100cf5146,jit,Revert D20541090: [JIT][torchbind] Namespaces for torchbind classes
5306713a36,misc,Replace Generator* with Generator that holds std::shared_ptr<GeneratorImpl> (#34468)
cfc0ff1691,InLastRelease,"Renaming: MultiLabelMarginLossFuncOptions -> MultilabelMarginLossFuncOptions, MultiLabelSoftMarginLossFuncOptions -> MultilabelSoftMarginLossFuncOptions (#35163)"
a5b509985a,skip,Updating submodules
1ff5d9c557,skip,Updating submodules
e1c092fe3a,mobile,Changes to transition to generic API for ops with weight prepacking (#35010)
b248e23de0,docs_frontend,Docs fix: Added missing indent (#35017)
11a40410e7,misc,pybind11 type_caster for at::Generator and custom RNG python test (#34774)
1783ea43e7,skip,[pytorch] deprecate code analyzer -closure option (#35179)
3f2aa07b13,InLastRelease,[ONNX] update producer version (#35059)
082e48e346,skip,skip ctc_loss test on Windows (#35069)
a6672f3b30,skip,Updating submodules
d743c22990,skip,Updating submodules
36e36eff2f,skip,Ignores deliberate undefined float->int conversion (#35086)
358ba59f01,bug_fixes_frontend,Add THP_API to THPGenerator_Wrap (#35194)
4caa0db6e8,quantization,[quant][graphmode][fix] preserve the type of original value when inserting dequant node (#34349)
28bf0038e5,quantization,[quant][graphmode][fix] Insert dequantize before use node (#34411)
350c522423,quantization,[quant][graphmode][refactor] insertObservers for Block (#34414)
c85697d74d,quantization,[quant][graphmode][fix] use observed_values_ to check values are observed (#34571)
2c69fa93b9,build_frontend,Fix _copysign is not a member of std (Windows) (#35199)
0e0386b434,jit,"Revert ""[JIT] add id function (#34975)"" (#35209)"
3e4076aa9c,quantization,[quant][graphmode] quantization work for prim::If (#34518)
506996c77e,quantization,[pt][quant] Optimized qadd_scalar (#34925)
21ecb8d870,build_frontend,Fix reference to NO_CUDA and NO_DISTRIBUTED (#34831)
02ab6ced8e,complex_frontend,test_complex inherits from common_utils.TestCase; closes #34648 (#34697)
77ccb5c14d,jit,Move functional graph creation to testing utils (#34916)
4fae5a6721,jit,Move module graph creation to testing utils (#34917)
9441c7a944,skip,[JIT] add IR complexity tests (#34918)
521c424b39,performance_frontend,Make discontiguous tensors also benefit from unrolling (#34708)
37e355622a,bug_fixes_frontend,"Pass the missed ""non_blocking"" argument for to() (#35144)"
3cd3f0b3f1,InLastRelease,Fix Tensor __radd__ type hint issue (#35231)
a00e12e755,quantization,[quant][graphmode] weight/bias of linear/conv can be reused for multiple ops (#35221)
93983c7d00,build_frontend,Add `USE_TSAN` option (#35197)
40da01db6a,InLastRelease,Add docs about memory format (#34818)
bfdcc39301,skip,"in test_c10d.py, remove skip_if_rocm from tests that pass locally (#35124)"
6fa0b3df2e,misc,[testing] Pass verbosity settings to `XMLTestRunner` (#35224)
131af4412e,InLastRelease,Add TORCH_CUDA_API to FilterDescriptor (#35131)
7ab25b2e6b,jit,[JIT] add id function (#34975)
c321f02756,jit,Follow up on freezing (#34786)
8bb7f1ad11,rpc,[rpc] various fixes for ProcessGroupAgent (#34943)
b2dcedf71e,skip,.circleci: Ensure describe happens in pytorch repo (#35065)
eff68bc872,quantization,[quant][graphmode] quantization support for aten::add (#34572)
